time,pm2_5,pm10,carbon_monoxide,area
2026-08-19 00:00:00,9.2,12.2,247.0,RR Nagar
2026-08-19 01:00:00,7.7,10.3,195.0,RR Nagar
2026-08-19 02:00:00,6.6,8.8,158.0,RR Nagar
2026-08-19 03:00:00,5.7,7.5,145.0,RR Nagar
2026-08-19 04:00:00,5.2,6.8,147.0,RR Nagar
2026-08-19 05:00:00,4.5,6.1,158.0,RR Nagar
2026-08-19 06:00:00,4.8,6.7,186.0,RR Nagar
2026-08-19 07:00:00,5.8,8.5,224.0,RR Nagar
2026-08-19 08:00:00,5.9,9.4,242.0,RR Nagar
2026-08-19 09:00:00,5.8,10.0,221.0,RR Nagar
2026-08-19 10:00:00,5.7,9.6,180.0,RR Nagar
2026-08-19 11:00:00,5.4,9.4,151.0,RR Nagar
2026-08-19 12:00:00,5.7,10.6,139.0,RR Nagar
2026-08-19 13:00:00,6.5,13.3,140.0,RR Nagar
2026-08-19 14:00:00,7.6,16.2,165.0,RR Nagar
2026-08-19 15:00:00,8.6,18.5,241.0,RR Nagar
2026-08-19 16:00:00,9.0,16.5,342.0,RR Nagar
2026-08-19 17:00:00,10.7,16.6,406.0,RR Nagar
2026-08-19 18:00:00,11.5,16.8,397.0,RR Nagar
2026-08-19 19:00:00,12.5,17.9,351.0,RR Nagar
2026-08-19 20:00:00,11.4,16.2,308.0,RR Nagar
2026-08-19 21:00:00,10.1,14.1,286.0,RR Nagar
2026-08-19 22:00:00,8.8,12.0,267.0,RR Nagar
2026-08-19 23:00:00,7.3,9.6,245.0,RR Nagar
2026-08-20 00:00:00,5.7,7.6,213.0,RR Nagar
2026-08-20 01:00:00,4.6,6.3,177.0,RR Nagar
2026-08-20 02:00:00,4.2,6.0,151.0,RR Nagar
2026-08-20 03:00:00,3.8,5.5,138.0,RR Nagar
2026-08-20 04:00:00,3.3,4.7,134.0,RR Nagar
2026-08-20 05:00:00,3.1,4.4,139.0,RR Nagar
2026-08-20 06:00:00,3.3,4.6,162.0,RR Nagar
2026-08-20 07:00:00,3.6,5.3,195.0,RR Nagar
2026-08-20 08:00:00,4.4,7.3,214.0,RR Nagar
2026-08-20 09:00:00,5.3,8.8,203.0,RR Nagar
2026-08-20 10:00:00,5.9,10.7,178.0,RR Nagar
2026-08-20 11:00:00,5.9,11.6,159.0,RR Nagar
2026-08-20 12:00:00,6.2,13.0,149.0,RR Nagar
2026-08-20 13:00:00,6.3,13.8,146.0,RR Nagar
2026-08-20 14:00:00,6.7,14.5,162.0,RR Nagar
2026-08-20 15:00:00,7.0,13.9,218.0,RR Nagar
2026-08-20 16:00:00,8.0,14.5,294.0,RR Nagar
2026-08-20 17:00:00,9.6,17.4,341.0,RR Nagar
2026-08-20 18:00:00,10.2,15.7,333.0,RR Nagar
2026-08-20 19:00:00,11.0,16.5,296.0,RR Nagar
2026-08-20 20:00:00,10.3,14.5,264.0,RR Nagar
2026-08-20 21:00:00,9.3,12.5,253.0,RR Nagar
2026-08-20 22:00:00,8.7,11.5,248.0,RR Nagar
2026-08-20 23:00:00,7.7,10.0,234.0,RR Nagar
2026-08-21 00:00:00,6.5,8.6,202.0,RR Nagar
