time,temperature_2m,relative_humidity_2m,precipitation,area
2026-08-19 00:00:00,21.9,95,0.0,RR Nagar
2026-08-19 01:00:00,21.9,93,0.0,RR Nagar
2026-08-19 02:00:00,21.4,94,0.0,RR Nagar
2026-08-19 03:00:00,21.4,92,0.0,RR Nagar
2026-08-19 04:00:00,21.4,90,0.0,RR Nagar
2026-08-19 05:00:00,21.4,91,0.3,RR Nagar
2026-08-19 06:00:00,21.4,91,0.0,RR Nagar
2026-08-19 07:00:00,22.4,86,0.0,RR Nagar
2026-08-19 08:00:00,24.3,75,0.1,RR Nagar
2026-08-19 09:00:00,25.1,70,0.2,RR Nagar
2026-08-19 10:00:00,26.2,70,0.4,RR Nagar
2026-08-19 11:00:00,27.4,61,0.0,RR Nagar
2026-08-19 12:00:00,27.1,63,0.2,RR Nagar
2026-08-19 13:00:00,28.9,57,0.0,RR Nagar
2026-08-19 14:00:00,25.6,74,0.8,RR Nagar
2026-08-19 15:00:00,26.0,74,1.1,RR Nagar
2026-08-19 16:00:00,23.8,83,2.1,RR Nagar
2026-08-19 17:00:00,22.4,95,5.3,RR Nagar
2026-08-19 18:00:00,22.8,96,0.4,RR Nagar
2026-08-19 19:00:00,22.5,96,0.0,RR Nagar
2026-08-19 20:00:00,22.1,94,0.0,RR Nagar
2026-08-19 21:00:00,22.2,93,0.0,RR Nagar
2026-08-19 22:00:00,22.1,91,0.0,RR Nagar
2026-08-19 23:00:00,21.8,90,0.0,RR Nagar
2026-08-20 00:00:00,21.6,89,0.0,RR Nagar
2026-08-20 01:00:00,21.5,89,0.0,RR Nagar
2026-08-20 02:00:00,21.3,89,0.0,RR Nagar
2026-08-20 03:00:00,20.9,91,0.0,RR Nagar
2026-08-20 04:00:00,20.8,93,0.0,RR Nagar
2026-08-20 05:00:00,20.7,93,0.0,RR Nagar
2026-08-20 06:00:00,20.8,92,0.0,RR Nagar
2026-08-20 07:00:00,22.0,87,0.0,RR Nagar
2026-08-20 08:00:00,23.7,77,0.0,RR Nagar
2026-08-20 09:00:00,24.8,71,0.1,RR Nagar
2026-08-20 10:00:00,26.4,63,0.3,RR Nagar
2026-08-20 11:00:00,27.7,59,0.3,RR Nagar
2026-08-20 12:00:00,28.1,57,0.5,RR Nagar
2026-08-20 13:00:00,28.0,58,0.9,RR Nagar
2026-08-20 14:00:00,28.6,54,0.3,RR Nagar
2026-08-20 15:00:00,28.7,53,0.1,RR Nagar
2026-08-20 16:00:00,28.1,54,0.1,RR Nagar
2026-08-20 17:00:00,26.2,65,0.2,RR Nagar
2026-08-20 18:00:00,25.0,72,0.0,RR Nagar
2026-08-20 19:00:00,24.6,74,0.0,RR Nagar
2026-08-20 20:00:00,24.0,74,0.0,RR Nagar
2026-08-20 21:00:00,22.9,79,0.0,RR Nagar
2026-08-20 22:00:00,22.2,82,0.0,RR Nagar
2026-08-20 23:00:00,21.6,84,0.0,RR Nagar
2026-08-21 00:00:00,21.2,86,0.0,RR Nagar
2026-08-21 01:00:00,20.7,89,0.0,RR Nagar
2026-08-21 02:00:00,20.4,91,0.0,RR Nagar
2026-08-21 03:00:00,20.2,93,0.0,RR Nagar
2026-08-21 04:00:00,20.7,90,0.0,RR Nagar
2026-08-21 05:00:00,21.0,89,0.0,RR Nagar
2026-08-21 06:00:00,21.2,88,0.0,RR Nagar
2026-08-21 07:00:00,22.1,84,0.1,RR Nagar
2026-08-21 08:00:00,23.4,77,0.1,RR Nagar
2026-08-21 09:00:00,24.9,70,0.1,RR Nagar
2026-08-21 10:00:00,26.6,62,0.0,RR Nagar
2026-08-21 11:00:00,27.0,61,0.2,RR Nagar
2026-08-21 12:00:00,28.4,55,0.3,RR Nagar
2026-08-21 13:00:00,29.1,53,0.2,RR Nagar
2026-08-21 14:00:00,29.5,52,0.0,RR Nagar
2026-08-21 15:00:00,29.6,52,0.0,RR Nagar
2026-08-21 16:00:00,29.0,52,0.0,RR Nagar
2026-08-21 17:00:00,27.3,59,0.1,RR Nagar
2026-08-21 18:00:00,25.9,61,0.0,RR Nagar
2026-08-21 19:00:00,24.5,68,0.0,RR Nagar
2026-08-21 20:00:00,23.4,71,0.0,RR Nagar
2026-08-21 21:00:00,22.5,74,0.0,RR Nagar
2026-08-21 22:00:00,21.6,78,0.0,RR Nagar
2026-08-21 23:00:00,20.8,84,0.0,RR Nagar
2026-08-22 00:00:00,20.3,89,0.0,RR Nagar
2026-08-22 01:00:00,20.1,92,0.0,RR Nagar
2026-08-22 02:00:00,20.2,92,0.0,RR Nagar
2026-08-22 03:00:00,20.6,89,0.0,RR Nagar
2026-08-22 04:00:00,20.7,88,0.0,RR Nagar
2026-08-22 05:00:00,20.9,87,0.0,RR Nagar
2026-08-22 06:00:00,20.8,88,0.0,RR Nagar
2026-08-22 07:00:00,21.6,85,0.0,RR Nagar
2026-08-22 08:00:00,23.3,75,0.1,RR Nagar
2026-08-22 09:00:00,24.4,70,0.2,RR Nagar
2026-08-22 10:00:00,25.2,67,0.0,RR Nagar
2026-08-22 11:00:00,26.1,64,0.3,RR Nagar
2026-08-22 12:00:00,28.1,57,0.3,RR Nagar
2026-08-22 13:00:00,28.4,56,0.3,RR Nagar
2026-08-22 14:00:00,29.6,54,0.1,RR Nagar
2026-08-22 15:00:00,25.5,71,0.7,RR Nagar
2026-08-22 16:00:00,26.3,68,0.1,RR Nagar
2026-08-22 17:00:00,25.1,74,0.3,RR Nagar
2026-08-22 18:00:00,23.6,82,0.1,RR Nagar
2026-08-22 19:00:00,23.1,84,0.1,RR Nagar
2026-08-22 20:00:00,22.6,86,0.1,RR Nagar
2026-08-22 21:00:00,22.1,84,0.0,RR Nagar
2026-08-22 22:00:00,21.6,86,0.0,RR Nagar
2026-08-22 23:00:00,21.0,89,0.0,RR Nagar
2026-08-23 00:00:00,20.5,92,0.0,RR Nagar
2026-08-23 01:00:00,20.4,92,0.0,RR Nagar
2026-08-23 02:00:00,20.3,92,0.0,RR Nagar
2026-08-23 03:00:00,20.5,91,0.0,RR Nagar
2026-08-23 04:00:00,20.9,88,0.0,RR Nagar
2026-08-23 05:00:00,21.1,87,0.0,RR Nagar
2026-08-23 06:00:00,21.8,83,0.0,RR Nagar
2026-08-23 07:00:00,22.6,79,0.0,RR Nagar
2026-08-23 08:00:00,23.6,74,0.0,RR Nagar
2026-08-23 09:00:00,24.8,69,0.1,RR Nagar
2026-08-23 10:00:00,26.3,64,0.1,RR Nagar
2026-08-23 11:00:00,27.5,60,0.1,RR Nagar
2026-08-23 12:00:00,28.6,56,0.2,RR Nagar
2026-08-23 13:00:00,29.5,53,0.2,RR Nagar
2026-08-23 14:00:00,29.6,52,0.2,RR Nagar
2026-08-23 15:00:00,28.5,57,0.7,RR Nagar
2026-08-23 16:00:00,26.6,67,0.7,RR Nagar
